epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,2924.15,0.55006,0.87862,1.40113,0.96674,0,0.5484,0.70262,0.64968,0.56777,0.53125,0.68029,0.63382,0.57165,0.50998,0.84019,1.65803,1.00846,0,0.000212106,0.000212106,0.000212106
30,2998.08,0.5449,0.91931,1.40604,0.95784,0,0.56662,0.78495,0.67488,0.58861,0.55168,0.76142,0.66187,0.59599,0.50806,0.82082,1.61923,1.00598,0,0.000202681,0.000202681,0.000202681
31,3062.61,0.55177,0.88199,1.28103,0.98356,0,0.57765,0.70482,0.68885,0.60696,0.57765,0.70482,0.68885,0.61817,0.50158,0.83353,1.57643,0.99359,0,0.000193256,0.000193256,0.000193256
32,3136.72,0.49516,0.84178,1.27255,0.95892,0,0.57043,0.70721,0.71141,0.62167,0.56555,0.70231,0.71074,0.63987,0.51221,0.83622,1.57193,0.99692,0,0.000183831,0.000183831,0.000183831
33,3217.57,0.54445,0.85861,1.25612,0.95073,0,0.63664,0.66627,0.72371,0.62175,0.69888,0.6636,0.72146,0.63841,0.50612,0.83666,1.52406,0.99577,0,0.000174406,0.000174406,0.000174406
34,3289.29,0.53003,0.83704,1.24512,0.94723,0,0.72072,0.64231,0.7476,0.64325,0.72159,0.6415,0.74499,0.65956,0.48806,0.83622,1.46099,0.98913,0,0.000164982,0.000164982,0.000164982
35,3364.75,0.48566,0.8007,1.15555,0.92394,0,0.7922,0.644,0.7523,0.67429,0.7922,0.644,0.7523,0.66347,0.47104,0.83371,1.38962,0.98096,0,0.000155557,0.000155557,0.000155557
36,3428.27,0.51183,0.87466,1.16888,0.96021,0,0.60859,0.76556,0.76142,0.69124,0.60531,0.76164,0.75964,0.67896,0.46333,0.82519,1.35186,0.97861,0,0.000146132,0.000146132,0.000146132
37,3489.28,0.49547,0.81491,1.12139,0.94294,0,0.68265,0.75587,0.75774,0.68902,0.68265,0.75587,0.75467,0.67508,0.46191,0.82789,1.34578,0.97813,0,0.000136707,0.000136707,0.000136707
38,3550.39,0.48417,0.78384,1.11364,0.93,0,0.69179,0.75812,0.76576,0.69182,0.69179,0.75812,0.76338,0.6759,0.46583,0.82945,1.35058,0.97954,0,0.000127282,0.000127282,0.000127282
39,3612.56,0.5019,0.86073,1.15215,0.94611,0,0.73306,0.72256,0.77755,0.69574,0.72886,0.71982,0.77362,0.6869,0.46879,0.81614,1.35765,0.98131,0,0.000117858,0.000117858,0.000117858
40,3673.96,0.50194,0.93189,1.1099,0.93507,0,0.79532,0.69829,0.806,0.72482,0.78865,0.69155,0.80244,0.71747,0.4687,0.80365,1.36085,0.98177,0,0.000108433,0.000108433,0.000108433
41,3740.44,0.49277,0.73806,1.10935,0.9714,0,0.79258,0.72623,0.79337,0.70945,0.78776,0.72124,0.79129,0.70249,0.45856,0.8007,1.35571,0.97145,0,9.9008e-05,9.9008e-05,9.9008e-05
42,3800.45,0.42836,0.71642,1.02613,0.92917,0,0.81838,0.7265,0.7848,0.69681,0.81083,0.71866,0.78122,0.69762,0.45749,0.79938,1.39896,0.96775,0,8.95832e-05,8.95832e-05,8.95832e-05
43,3859.97,0.47148,0.7467,1.04495,0.99058,0,0.84973,0.69065,0.78617,0.68333,0.84222,0.6828,0.78253,0.69821,0.4721,0.80267,1.44808,0.97647,0,8.01584e-05,8.01584e-05,8.01584e-05
44,3920.49,0.46428,0.75404,1.03095,0.97343,0,0.84693,0.67922,0.78075,0.6811,0.83445,0.64933,0.76593,0.69346,0.50113,0.80961,1.49231,0.99627,0,7.07336e-05,7.07336e-05,7.07336e-05
45,3996.19,0.44934,0.715,0.98902,0.9505,0,0.83922,0.68164,0.77956,0.67951,0.8159,0.65834,0.76265,0.68683,0.51726,0.81466,1.49635,1.01004,0,6.13088e-05,6.13088e-05,6.13088e-05
46,4057.86,0.44942,0.70658,0.97004,0.95247,0,0.8304,0.68643,0.79156,0.68863,0.808,0.66159,0.77452,0.69951,0.51685,0.8145,1.4757,1.0155,0,5.1884e-05,5.1884e-05,5.1884e-05
47,4118.86,0.47203,0.71488,1.03691,0.95499,0,0.82968,0.6929,0.80357,0.70346,0.78941,0.67455,0.7852,0.70894,0.50392,0.81281,1.43353,1.01312,0,4.24592e-05,4.24592e-05,4.24592e-05
48,4178.9,0.44325,0.71529,0.97759,0.95098,0,0.7938,0.71848,0.80064,0.70697,0.71189,0.6933,0.78266,0.70969,0.48716,0.81115,1.37685,1.0076,0,3.30344e-05,3.30344e-05,3.30344e-05
49,4238.08,0.44929,0.70974,0.97446,0.96051,0,0.80482,0.72053,0.80836,0.72321,0.78123,0.69465,0.79038,0.7143,0.47234,0.80864,1.31832,0.99899,0,2.36096e-05,2.36096e-05,2.36096e-05
50,4297.04,0.40856,0.67513,0.92903,0.92455,0,0.82813,0.68419,0.80872,0.725,0.79082,0.66095,0.78846,0.71198,0.4624,0.80837,1.26594,0.99328,0,1.41848e-05,1.41848e-05,1.41848e-05
